Price,Location,Spare,Length,Width,Direction,Amenities
400 triệu,"Đường An Dương Vương, Phường Phước Tân, TP. Biên Hòa, Đồng Nai","1,355 m²",30 m,35 m,--,1
900 triệu,"Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre",84 m²,10 m,8.96 m,--,1
1.08 tỷ,"Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam",108 m²,18 m,5.99 m,T.Bắc,1
2 tỷ,"Xã Bàu Đồn, Huyện Gò Dầu, Tây Ninh",480 m²,12 m,41 m,Nam,1
720 triệu,"Đường Đồng Tâm - Tà Thiết, Xã Lộc Thành, Huyện Lộc Ninh, Bình Phước",250 m²,50 m,5 m,--,1
3.2 tỷ,"Phường Long Trường, TP. Thủ Đức, TP. Hồ Chí Minh",58 m²,4 m,14.5 m,--,1
590 triệu,"Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh",72 m²,18 m,4 m,Đông,1
869 triệu,"Thị trấn Gò Dầu, Huyện Gò Dầu, Tây Ninh",200 m²,--,--,--,1
8.6 tỷ,"Đường Bùi Hữu Nghĩa, Phường Hóa An, TP. Biên Hòa, Đồng Nai",700 m²,--,17 m,--,0
22.5 tỷ,"Đường Lạc Long Quân Lăng Cô, Phú Lộc, Thừa Thiên Huế","2,094 m²",65 m,35 m,--,0
1.3 tỷ,"Nguyễn Khắc Viện, Phường Tân Thuận Đông, Quận 7, TP. Hồ Chí Minh",90 m²,--,--,--,0
3.5 tỷ,"Đường Bưởi, Xã Nam Thượng, Huyện Kim Bôi, Hòa Bình","12,000 m²",--,--,--,0
3.7 tỷ,"Đường Lý Nhật Quang, Phường Nại Hiên Đông, Quận Sơn Trà, TP. Đà Nẵng",105 m²,21 m,5 m,T.Bắc,1
1.3 tỷ,"Đường NE8, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",360 m²,30 m,12 m,--,1
3.15 tỷ,"Đường Nguyễn Trường Tộ, Phường Ninh Hiệp, Thị xã Ninh Hòa, Khánh Hòa",174 m²,33 m,4.5 m,Đ.Bắc,1
465 triệu,"Kỳ Lam, Xã Điện Thọ, Thị xã Điện Bàn, Quảng Nam",150 m²,30 m,5 m,--,1
550 triệu,"Xã Đồng Tiến, Huyện Đồng Phú, Bình Phước",318 m²,--,--,--,0
690 triệu,"Đường 1/5, phường 1, Bảo Lộc, Lâm Đồng",180 m²,36 m,5 m,--,0
1.2 tỷ,"Đường 20 Tân Lạc, Bảo Lâm, Lâm Đồng",174 m²,--,--,--,0
1.2 tỷ,"Xã Tân Lạc, Huyện Bảo Lâm, Lâm Đồng",180 m²,6 m,30 m,--,1
4.75 tỷ,"Đường Tân Nghĩa, Di Linh, Lâm Đồng","5,284 m²",--,--,--,0
880 triệu,"Đường 18, Xã Ngọc Xá, Huyện Quế Võ, Bắc Ninh",98 m²,21 m,5 m,--,0
2 tỷ,"Đường Nguyễn Minh Châu, Phường Mũi Né, TP Phan Thiết",160 m²,16 m,9 m,--,0
1.35 tỷ,"Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh",81 m²,15 m,5 m,--,0
33.02 tỷ,"Võ Hữu Lợi, Xã Lê Minh Xuân, Huyện Bình Chánh, TP. Hồ Chí Minh","4,717 m²",--,--,--,1
1.06 tỷ,"Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận","8,459 m²",--,55 m,Đông,0
1.44 tỷ,"Xã Hòa Minh, Huyện Tuy Phong, Bình Thuận",116 m²,29 m,4 m,T.Bắc,0
2.25 tỷ,"DT609, Xã Điện Thọ, Thị xã Điện Bàn, Quảng Nam",450 m²,30 m,5 m,Đ.Nam,1
1.3 tỷ,"Xã Hòa Minh, Huyện Tuy Phong, Bình Thuận",78 m²,--,--,Đông,1
439 triệu,"Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",124 m²,50 m,5 m,--,1
5.5 tỷ,"Đường Lộc Thủy, Phúc Lộc, Thừa Thiên Huế","1,832 m²",--,--,--,0
2.2 tỷ,"Lô 48, Phường Quảng Hưng, TP. Thanh Hóa, Thanh Hóa, Phường Quảng Hưng, TP. Thanh Hóa, Thanh Hóa",93 m²,20 m,4.97 m,T.Bắc,1
1.3 tỷ,"Lô 12, Phường Đông Sơn, TP. Thanh Hóa, Thanh Hóa",59.90 m²,12 m,5.27 m,T.Nam,1
45 tỷ,"Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh","1,110 m²",--,--,--,1
850 triệu,"Đường 2, xã Tân Dân, huyện Sóc Sơn, Hà Nội",52 m²,13 m,4 m,--,0
490 triệu,"Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",300 m²,6 m,50 m,--,0
750 triệu,"Quốc lộ 1A, Thị trấn Cái Tắc, Huyện Châu Thành A, Hậu Giang",90 m²,18 m,5 m,Đ.Bắc,1
880 triệu,"Xã Lê Lợi, Huyện An Dương, TP. Hải Phòng",60 m²,--,--,--,0
420 triệu,"Đường 13, Phường Minh Hưng, Thị xã Chơn Thành, Bình Phước","1,000 m²",100 m,9.99 m,--,1
390 triệu,"Xã Quảng Hiệp, Huyện Cư M'gar, Đắk Lắk",120 m²,6 m,19.99 m,--,0
1.1 tỷ,"Đường Đài Bi, xã Xuân Nộn, Đông Anh, Hà Nội.",40 m²,10 m,4 m,--,0
638 triệu,"Đường Quốc Lộ 13, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",100 m²,20 m,5 m,Đông,1
550 triệu,"Đường DH507, Xã An Linh, Huyện Phú Giáo, Bình Dương","1,000 m²",15 m,66.66 m,--,0
330.48 triệu,"Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam",108 m²,18 m,6 m,Đ.Nam,1
1.02 tỷ,"Xã Bình An, Huyện Thăng Bình, Quảng Nam",110 m²,19.99 m,5.5 m,Đ.Nam,1
750 triệu,"Phường Thuận Giao, TP. Thuận An, Bình Dương",142 m²,--,--,--,0
269 triệu,"Xã Phước Tín, Thị xã Phước Long, Bình Phước",108 m²,6 m,18 m,Đông,1
450 triệu,"Đường ĐT 756, Xã Lộc Khánh, Huyện Lộc Ninh, Bình Phước",150 m²,30 m,5 m,--,1
1.2 tỷ,"Đường Huỳnh Châu Sổ, Phường 6, TP. Tân An, Long An",100 m²,5 m,20 m,--,1
1.3 tỷ,Phường An Hòa thành phố Trảng Bàng tỉnh Tây Ninh,96 m²,--,--,--,0
3.4 tỷ,"Đường 890, xã Phạm Văn Cội, Huyện Củ Chi, Tp.HCM",302 m²,--,--,--,0
1.65 tỷ,"Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh",99 m²,--,--,--,0
950 triệu,"Đường 13, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",100 m²,20 m,5 m,--,0
750 triệu,"DT784, Xã Chà Là, Huyện Dương Minh Châu, Tây Ninh",175 m²,5 m,35 m,--,1
1.17 tỷ,"Xã Ninh Sơn, Thị xã Ninh Hòa, tỉnh Khánh Hòa .",354 m²,--,--,--,0
519 triệu,"Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",250 m²,50 m,5 m,--,1
600 triệu,"DT610B, Xã Điện Phong, Thị xã Điện Bàn, Quảng Nam",110 m²,22 m,5 m,--,1
521 triệu,"Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",255 m²,5 m,52 m,--,1
8 tỷ,"Đường Tỉnh lộ 55, Thị trấn Long Điền, Long Điền, Bà Rịa - Vũng Tàu",500 m²,35 m,15 m,--,0
490 triệu,"Phường Đức Nghĩa, TP. Phan Thiết, Bình Thuận","1,131 m²",--,--,--,1
460 triệu,"Đường 29, Xã Phước Tân Hưng, Châu Thành, Long An",500 m²,30 m,14 m,--,0
5 tỷ,"Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, TP. HN",81 m²,19.3 m,4.2 m,--,0
8 tỷ,"Đường Tỉnh lộ 55, Thị trấn Long Điền, Huyện Long Điền, Bà Rịa Vũng Tàu",500 m²,35 m,15 m,--,0
1.5 tỷ,"Đường Tỉnh lộ 419 Tân Xã, Thạch Thất, Hà Nội",129 m²,20 m,6.5 m,--,0
3.3 tỷ,"Đường Trục chính Tân Xã Tân Xã, Thạch Thất, Hà Nội",200 m²,33 m,6 m,--,0
2.35 tỷ,"Phường Ngọc Xuyên, Quận Đồ Sơn, TP. Hải Phòng",144 m²,--,8 m,--,0
1.36 tỷ,"Xã Lệ Chi, Huyện Gia Lâm, TP. Hà Nội",41 m²,--,--,--,0
899 triệu,"Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,Bắc,1
1.6 tỷ,"Đường Quốc Lộ 50 Quy Đức, Bình Chánh, TPHCM",53 m²,--,--,--,0
2.16 tỷ,"Đường 415 Cẩm Lĩnh, Ba Vì, Hà Nội","1,437 m²",--,--,--,0
9.5 tỷ,"Đường Chí Linh 19, phường 10, Vũng Tàu, Bà Rịa Vũng Tàu",103 m²,16 m,6 m,--,0
45 tỷ,"Đường 628 Tân Lâm, Xuyên Mộc, Bà Rịa Vũng Tàu","640,000 m²",500 m,125 m,--,0
1.8 tỷ,"Đường Trung Hưng 3 Vĩnh Hưng A, Vĩnh Lợi, Bạc Liêu",756 m²,--,--,--,0
2 tỷ,"Đường Cầu Sến Phương Đông, Uông Bí, Quảng Ninh",108 m²,6 m,18 m,--,0
630 triệu,"Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh",60 m²,15 m,4 m,--,1
2 tỷ,"Đường Số 1 Đức Hòa Đông, Đức Hòa, Long An",260 m²,32 m,7.7 m,--,0
1.1 tỷ,"Đường Nguyễn Văn Tiên Tân Phong, Biên Hòa, Đồng Nai",100 m²,20 m,5 m,--,0
2.7 tỷ,"Phường Long Phước, TP. Thủ Đức, TP. Hồ Chí Minh",54 m²,5 m,10.7 m,--,1
800 triệu,"Đường 27 D'ran, Đơn Dương, Lâm Đồng","1,005 m²",--,--,--,0
2.66 tỷ,"Đường Tư Thủy, Phường Hòa Nghĩa, Quận Dương Kinh, TP Hải Phòng",108 m²,20 m,5 m,--,0
2.9 tỷ,"Đường F5 Phước Long, Nha Trang, Khánh Hòa",52 m²,10 m,6 m,--,0
5.1 tỷ,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, TPHCM",64 m²,16 m,4 m,--,0
4.5 tỷ,"Đường Số 19 Trung Lập Thượng, Củ Chi, TPHCM",400 m²,40 m,10.5 m,--,0
2.9 tỷ,"Đường F5 Phước Long, Nha Trang, Khánh Hòa",52 m²,10 m,6 m,--,0
2.54 tỷ,"Đường Tư Thủy, Phường Hòa Nghĩa, Quận Dương Kinh, TP Hải Phòng",108 m²,20 m,5 m,--,0
4.8 tỷ,"Đường Bạch Đằng, Phường 9, TP. Sóc Trăng , Sóc Trăng",300 m²,25 m,12 m,--,0
280 triệu,"Đường TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi",120 m²,20 m,5 m,Đông,1
900 triệu,"Đường 29, Thị trấn Krông Năng, Huyện Krông Năng, Đăk Lăk",132 m²,23 m,6 m,--,0
299 triệu,"Đường 18 Mông Dương, Cẩm Phả, Quảnh Ninh",87 m²,14 m,6 m,--,0
8.6 tỷ,"Đường Tỉnh lộ 6 Ninh Sơn, Ninh Hòa, Khánh Hòa","86,023 m²",--,--,--,0
450 triệu,"Đường 10 Tân Viên, An Lão, Hải Phòng",68 m²,12 m,6 m,--,0
900 triệu,"Đường 29, Thị trấn Krông Năng, Huyện Krong Năng, Đăk Lăk",132 m²,23 m,6 m,--,0
42 tỷ,"Đường Số 14 Phong Điền, huyện Phong Điền, Cần Thơ","3,930 m²",140 m,28 m,--,0
665 triệu,"Xã Điện Tiến, Thị xã Điện Bàn, Quảng Nam",137 m²,21 m,5 m,Đ.Bắc,1
600 triệu,"Phường Mũi Né, TP. Phan Thiết, Bình Thuận",100 m²,--,--,--,0
630 triệu,"Đường Lộc Thạnh, Xã Lộc Giang, Huyện Đức Hòa, Long An",106 m²,21 m,5 m,--,0
15 tỷ,"Đường Nguyễn Thị Minh Khai, Phường 8, TP Vũng Tàu, Bà Rịa Vũng Tàu",118 m²,23 m,5 m,--,0
10 tỷ,"Xã Liên Hà, Huyện Lâm Hà, Lâm Đồng","21,000 m²",--,--,--,0
65 tỷ,"Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, TP. Hồ Chí Minh",381 m²,24 m,16 m,--,0
740 triệu,"DT605, Xã Điện Tiến, Thị xã Điện Bàn, Quảng Nam",100 m²,20 m,5 m,Đ.Nam,1
510 triệu,"Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh",56 m²,14 m,4 m,Nam,1
2 tỷ,"Đường Nguyễn tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, TP. Đà Nẵng",100 m²,20 m,5 m,Đ.Nam,1
2.2 tỷ,"Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu, TP. Đà Nẵng",100 m²,20 m,5 m,Đ.Nam,1
300 triệu,"Phường Minh Thành, Thị xã Chơn Thành, Bình Phước","1,024 m²",85 m,11.99 m,--,1
1.7 tỷ,"Xã Y Tý, Huyện Bát Xát, Lào Cai",499 m²,--,--,--,1
5 tỷ,"Man Thiện, Phường Tăng Nhơn Phú A, TP. Thủ Đức, TP. Hồ Chí Minh",54 m²,--,4.5 m,--,0
540 triệu,"Xã Minh Tâm, Huyện Hớn Quản, Bình Phước","1,250 m²",60.5 m,20 m,--,1
415 triệu,"Hương lộ 3, Xã Hảo Đước, Huyện Châu Thành, Tây Ninh",210 m²,35 m,5.99 m,--,1
3.3 tỷ,"Đường Bạch Đằng, phường 9, TP.Sóc Trăng, Sóc Trăng",300 m²,60 m,5 m,--,0
570 triệu,"Đường Mỹ Phong, Xã Mỹ Phong, TP Mỹ Tho, Tiền Giang",84 m²,--,--,--,0
750 triệu,"Đường Hương lộ 62, xã Khánh Phú, Huyện Khánh Vĩnh, Khánh Hòa",157 m²,25 m,6 m,--,0
1.2 tỷ,"Đường Phú Xuân, xã Phú Xuân, Huyện Krông Năng, Tỉnh Đắk Lắk.","4,589 m²",--,--,--,0
2.66 tỷ,"Đường Thủy Điện Sê Rê Pôk, Xã Ea Nuôl, Huyện Buôn Đôn, Đắk Lắk",658 m²,24 m,28 m,--,0
2 tỷ,"Đường 4D Tả Phìn, Sa Pa, Lào Cai",206 m²,--,--,--,0
900 triệu,"Phường Mũi Né, TP. Phan Thiết, Bình Thuận",54 m²,--,--,--,0
3.2 tỷ,"Đường ĐT 746, Xã Tân Định, Huyện Bắc Tân Uyên, Bình Dương",580 m²,58 m,10 m,T.Nam,1
1.34 tỷ,"Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng",224 m²,25 m,30 m,Đ.Bắc,1
1.34 tỷ,"Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng",224 m²,25 m,30 m,Đ.Bắc,1
1.52 tỷ,"Đường ĐT 725, Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng",253 m²,25 m,20 m,--,1
740 triệu,"Đường Quốc Lộ 10, Xã Hiệp Hòa, Huyện Vĩnh Bảo, TP Hải Phòng",107 m²,--,--,--,0
2 tỷ,"Đường 4D Tả Phìn, SaPa, Lào Cai",206 m²,--,--,--,0
899 triệu,"Đường Hùng Vương, Xã Phú Lộc, Huyện Krong Năng, Đăk Lăk",132 m²,22 m,6 m,--,0
1.88 tỷ,"Đường Tân Thanh, Xã Tân Thanh, Huyện Đức Trọng, Lâm Đồng",453 m²,30 m,15 m,--,0
660 triệu,"Đường Tam Nguyên, Xã Lộc Quang, Huyện Lộc Ninh, Bình Phước","1,000 m²",100 m,10 m,--,0
17 tỷ,"Xã Nhơn Đức, Huyện Nhà Bè, TP. Hồ Chí Minh",80 m²,16 m,5 m,--,1
3.2 tỷ,"Đường ĐT 746, Xã Tân Định, Huyện Bắc Tân Uyên, Bình Dương",580 m²,58 m,10 m,T.Nam,1
5.32 tỷ,"Đường Tỉnh Lộ 35 Minh Phú, Sóc Sơn, Hà Nội",266 m²,33 m,8 m,--,0
2.57 tỷ,"Đường Tỉnh Lộ 131 Quang Tiến, Sóc Sơn, Hà Nội",90 m²,20 m,4.5 m,--,0
480 triệu,"Thị trấn Cần Đước, Huyện Cần Đước, Long An",75 m²,15 m,4.99 m,--,1
980 triệu,"Bến Đình, Thị trấn Bến Cầu, Huyện Bến Cầu, Tây Ninh",300 m²,30 m,9.99 m,--,1
1.5 tỷ,"Đường 43, Xã Mường Sang, huyện Mộc Châu, Sơn La",165 m²,--,--,--,0
836.28 triệu,"Dt716, Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận","4,646 m²",--,--,--,1
280 triệu,"Đường TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi",120 m²,20 m,5 m,Đông,1
2 tỷ,"Đường Biên Giang Biên Giang, Hà Đông, Hà Nội",50 m²,12.5 m,4 m,--,0
960 triệu,"Đường 749B, Xã Minh Hoà, Huyện Dầu Tiếng, Bình Dương","1,100 m²",10 m,120 m,--,0
1.5 tỷ,"Đường 43 Mường Sang, Mộc Châu, Sơn La",165 m²,--,--,--,0
6.5 tỷ,"Đường Tân Hiệp Tân Hiệp, Tân Uyên, Bình Dương",490 m²,--,--,--,0
836.28 triệu,"DT 716 , Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận","4,646 m²",--,--,--,0
5 tỷ,"Đường Kiến Hưng Kiến Hưng, Hà Đông, Hà Nội",50 m²,12.5 m,4 m,--,0
800 triệu,"Xã Minh Lập, Thị xã Chơn Thành, Bình Phước","1,800 m²",75 m,27.99 m,--,1
1.2 tỷ,"Đường 20, Xã Tân Lạc, Huyện Bảo Lâm, Lâm Đồng",174 m²,--,--,--,0
6 tỷ,"Đường Quốc lộ 1A, Xã Vĩnh Lương, TP Nha Trang, Khánh Hòa",830 m²,40 m,12 m,--,0
1.5 tỷ,"Đường 43, Xã Mường Sang, Huyện Mộc Châu, Sơn La",165 m²,--,--,--,0
950 triệu,"Xã Đức Hòa Đông, Huyện Đức Hòa, Long An",80 m²,16 m,5 m,--,1
8.5 tỷ,"Phường 7, TP Đà Lạt, Lâm Đồng",101 m²,--,--,--,0
120 tỷ,Đường Phan Bội Châu 2,390 m²,43 m,9 m,--,0
370 triệu,"Hẻm tỉnh lộ 1, Xã Tân Hoà, Huyện Buôn Đôn, Đắk Lắk",121 m²,20 m,6 m,T.Bắc,1
6 tỷ,"Đường Quốc lộ 1A, Xã Vĩnh Lương. Tp Nha Trang, Khánh Hòa",830 m²,40 m,12 m,--,0
960 triệu,"Đường 749B, Xã Minh Thạnh, Huyện Dầu Tiếng, Bình Dương",345 m²,10 m,36 m,--,0
600 triệu,"Đường 101 Nam Lộ, Xã La Ngà, Huyện Định Quán, Đồng Nai","2,000 m²",40 m,52 m,Đ.Nam,0
3.5 tỷ,"Đường A3 Phước Long, Nha Trang, Khánh Hòa",52 m²,16 m,4 m,--,0
2.02 tỷ,"Đường 23, Xã Vân Nội, Huyện Đông Anh, TP. Hà Nội",43 m²,10 m,4.5 m,Nam,1
9.3 tỷ,"Đường 16 Hiệp Bình Chánh, Thủ Đức, TPHCM",172 m²,17.2 m,10 m,--,0
500 triệu,"Quốc lộ 50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang",85 m²,--,--,--,1
1.24 tỷ,"Đường Tỉnh Lộ 131 Quang Tiến, Sóc Sơn, Hà Nội",52 m²,12 m,4 m,--,0
500 triệu,"Quốc lộ 50, Xã Bình Đông, Thị xã Gò Công, Tiền Giang",85 m²,--,--,--,1
3.5 tỷ,"Đường A3 Phước Long, Nha Trang, Khánh Hòa",52 m²,16 m,4 m,--,0
850 triệu,"Đường Quốc Lộ 2 Tân Dân, Sóc Sơn, Hà Nội",52 m²,10 m,5 m,--,0
33 tỷ,"Đường Lê Hồng Phong, Phường 4, TP Đà Lạt, Lâm Đồng",372 m²,--,--,--,0
4.55 tỷ,"Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An","1,136 m²",51 m,22.6 m,Nam,1
638 triệu,"Đường Quốc Lộ 50, Thị trấn Cần Đước, Huyện Cần Đước, Long An",102 m²,20.4 m,5 m,Nam,0
1.22 tỷ,"DH704, Xã Định Hiệp, Huyện Dầu Tiếng, Bình Dương",210 m²,21 m,10 m,--,1
7 tỷ,"DJ5, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",300 m²,30 m,10 m,--,1
700 triệu,"DT784 , Xã Chà Là, Huyện Dương Minh Châu, Tây Ninh",500 m²,25 m,19.99 m,--,1
329 triệu,"DT788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh",105 m²,21 m,5 m,--,1
480 triệu,"Xã Bình Đông, Thị xã Gò Công, Tiền Giang",80 m²,16 m,5 m,--,1
2.3 tỷ,"Xã Bình Hưng, Huyện Bình Chánh, TP. Hồ Chí Minh",110 m²,--,--,--,0
465 triệu,"Đường Quốc Lộ 13, Xã An Khương, Huyện Hớn Quản, Bình Phước",323 m²,--,--,--,0
400 triệu,"Phường Mũi Né, TP. Phan Thiết, Bình Thuận",100 m²,--,--,--,0
4.17 tỷ,"Phường Thượng Lý, Quận Hồng Bàng, TP. Hải Phòng",97 m²,--,--,--,0
550 triệu,"Đường 753, Xã Tân Lợi, Huyện Đồng Phú, Bình Phước","5,000 m²",--,--,--,0
390 triệu,"Đường Tỉnh Lộ 10, Xã Vinh Hà, Huyện Phú Vang, Thừa Thiên Huế",102 m²,20.05 m,5.15 m,--,0
4.2 tỷ,"Đường Tân Nhựt, Xã Tân Nhựt, Huyện Bình Chánh, TPHCM","2,018 m²",--,--,--,0
1.12 tỷ,"Đường Tỉnh Lộ 131,Xã Quang Tiến, Huyện Sóc Sơn, TP Hà Nội",63 m²,14 m,4.7 m,--,0
450 triệu,"Xã Bình Đông, Thị xã Gò Công, Tiền Giang",102 m²,--,--,--,1
400 triệu,"Phường An Lộc, Thị xã Bình Long, Bình Phước",100 m²,20 m,5 m,--,1
629 triệu,"Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương",100 m²,5 m,20 m,Đông,1
850 triệu,"Đường N1, xã Trừ Văn Thố, Huyện Bàu Bàng, Bình Dương",116 m²,23.23 m,5 m,--,0
899 triệu,"Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk",132 m²,22 m,6 m,--,0
2.1 tỷ,"Đường Trục, Phường 13, Quận Bình Thạnh, TP. Hồ Chí Minh",100 m²,20 m,5 m,--,0
1.3 tỷ,"Đường D4, Phường 6, TP. Tân An, Long An",125 m²,5 m,25 m,--,1
1 tỷ,"Đường Quốc lộ 1A , xã Vĩnh Phương, TP. Nha Trang, Khánh Hòa","5,400 m²",54 m,100 m,--,0
539 triệu,"Đường 14, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",70 m²,14 m,5 m,--,1
9.99 tỷ,"Đường Hà Huy Tập, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",220 m²,--,--,--,0
505 triệu,"Đường Huyện 31, Xã Tân Hương, Huyện Châu Thành, Tiền Giang.",105 m²,21 m,5 m,--,0
1.85 tỷ,"Xã Liên Sơn, Huyện Lương Sơn, Hoà Bình","60,000 m²",--,--,--,0
5.4 tỷ,"Đường Lý Sơn Thượng Thanh, Long Biên, Hà Nội",45 m²,9 m,5 m,--,0
6 tỷ,"Đường Đồng Khởi, Phường Tân Hiệp, TP. Biên Hòa, Đồng Nai",88 m²,--,5 m,--,0
1.36 tỷ,"Xã Lệ Chi, Huyện Gia Lâm, TP. Hà Nội",40 m²,--,--,--,0
1.13 tỷ,"Đường Thụy Lâm, Xã Thuỵ Lâm, Huyện Đông Anh, TP. Hà Nội",63 m²,5 m,13 m,--,1
2.65 tỷ,"Đường Thanh Niên, Phường Ngọc Xuyên, Quận Đồ Sơn, TP. Hải Phòng",100 m²,20 m,5 m,--,0
450 triệu,"Đường 10, Xã Tân Viên, Huyện An Lão, TP Hải Phòng",68 m²,12 m,6 m,--,0
900 triệu,"Phường Thống Nhất, TP. Buôn Ma Thuột, Đắk Lắk",132 m²,--,--,Bắc,1
930 triệu,"Xã Long Phước, TP Bà Rịa, Bà Rịa Vũng Tàu",147 m²,25 m,5.6 m,--,0
8.5 tỷ,"Đường QL 61C, Xã Nhơn Nghĩa, Huyện Phong Điền, TP. Cần Thơ","1,585 m²",78 m,17.2 m,Đông,1
2.75 tỷ,"Đường DT 749A, Xã Long Tân, Huyện Dầu Tiếng, Bình Dương",322 m²,54 m,6 m,--,0
1.52 tỷ,"Đường D6, Xã Diên Lạc, Huyện Diên Khánh, Khánh Hòa",137 m²,23 m,5.5 m,--,0
1.52 tỷ,"Đường D6 Diên Lạc, Diên Khánh, Khánh Hòa",137 m²,23 m,5.5 m,--,0
2.4 tỷ,"Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, TP. Đà Nẵng",80 m²,20 m,4 m,Đ.Nam,1
4.9 tỷ,"Lê văn tâm, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, TP. Đà Nẵng",90 m²,18 m,5 m,Đ.Nam,1
500 triệu,"Đường 3/2 Mậu A, Văn Yên, Yên Bái",344 m²,34.4 m,10 m,--,0
3 tỷ,"Đường Quốc Lộ 20 Ma Đa Guôi, Đạ Huoai, Lâm Đồng",570 m²,24.7 m,23 m,--,0
2.6 tỷ,"Đường tỉnh lộ 261, Xã Hồng Tiến, Thị xã Phổ Yên, Thái Nguyên",100 m²,20 m,5 m,Đ.Nam,1
189 tỷ,"Đường Lã Xuân Oai Phước Long B, Thủ Đức, TPHCM","7,000 m²",136 m,57 m,--,0
4.5 tỷ,"Đường Bạch Đằng Lộc Châu, Bảo Lộc, Lâm Đồng","1,367 m²",--,--,--,0
2.1 tỷ,"Đường 784 Ninh Thạnh, TP.Tây Ninh, Tây Ninh",535 m²,--,--,--,0
450 triệu,"Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh",90 m²,18 m,5 m,Đông,1
400 triệu,"Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh",180 m²,17 m,5 m,--,1
4.5 tỷ,"Đường Tỉnh Lộ 7 Trung Lập Thượng, Củ Chi, TPHCM",400 m²,--,--,--,0
220 triệu,"Đường Đường 5m, Xã Cư Ê Wi, Huyện Cư Kuin, Đắk Lắk",775 m²,--,--,--,0
2.35 tỷ,"Đường Trần Nguyên Hãn, xã Mỹ Phong, Tp Mỹ Tho, Tiền Giang.",250 m²,25 m,10 m,--,0
900 triệu,"Đường 29, xã Phú Lộc, huyện Krông Năng, Đắk Lắk",132 m²,23 m,6 m,--,0
750 triệu,"Đường Quốc lộ 1A, Xã Tân Long, Huyện Phụng Hiệp, Hậu Giang",396 m²,--,--,--,0
750 triệu,"Đường Quốc lộ 1A, Xã Tân Long, Huyện Phụng Hiệp, Hậu Giang",396 m²,--,--,--,0
750 triệu,"Đường Quốc lộ 1A Tân Long, Phụng Hiệp, Hậu Giang",396 m²,--,--,--,0
2.35 tỷ,"Đường Trần Nguyên Hãn, phường 4, Mỹ Tho, Tiền Giang",250 m²,25 m,10 m,--,0
1.4 tỷ,"Phố Nguyễn Khắc Nhu, Xã Lộc Nga, TP. Bảo Lộc, Lâm Đồng",516 m²,35 m,17.5 m,Đ.Nam,1
950 triệu,"Xã Tả Phìn, Thị xã Sa Pa, Lào Cai",530 m²,--,--,--,0
1.15 tỷ,"Xã Vĩnh Tân, Huyện Vĩnh Cửu, Đồng Nai",894 m²,28 m,29 m,Bắc,0
